@relation relationships-weka.filters.unsupervised.attribute.NumericToNominal-R11

@attribute detectorId numeric
@attribute detectedId numeric
@attribute detected_frequency numeric
@attribute detected_daytime numeric
@attribute detected_evening numeric
@attribute detected_latenight numeric
@attribute duration_short numeric
@attribute duration_long numeric
@attribute distance_close numeric
@attribute distance_far numeric
@attribute friendship {0,1}

@data
23,9,0,0,0,0,0,0,0,0,0
23,10,0,0,0,0,0,0,0,0,0
23,11,0,0,0,0,0,0,0,0,0
23,12,0,0,0,0,0,0,0,0,0
23,13,0,0,0,0,0,0,0,0,0
23,14,0,0,0,0,0,0,0,0,0
23,15,0,0,0,0,0,0,0,0,0
23,16,0,0,0,0,0,0,0,0,0
23,17,0,0,0,0,0,0,0,0,0
23,18,0,0,0,0,0,0,0,0,0
23,19,0,0,0,0,0,0,0,0,0
23,20,0,0,0,0,0,0,0,0,0
23,21,0,0,0,0,0,0,0,0,1
23,22,0,0,0,0,0,0,0,0,0
23,24,3,0,3,0,2,1,0,3,1
24,1,0,0,0,0,0,0,0,0,0
24,2,0,0,0,0,0,0,0,0,0
24,3,6,0,6,0,5,1,3,3,0
24,4,156,0,156,0,153,3,154,2,0
24,5,426,426,0,0,370,56,168,258,0
24,6,0,0,0,0,0,0,0,0,0
24,7,218,213,5,0,196,22,171,47,0
24,8,0,0,0,0,0,0,0,0,0
24,9,8,3,5,0,8,0,7,1,0
24,10,0,0,0,0,0,0,0,0,0
24,11,177,177,0,0,148,29,177,0,0
24,12,0,0,0,0,0,0,0,0,0
24,13,0,0,0,0,0,0,0,0,0
24,14,166,166,0,0,146,20,24,142,0
24,15,290,81,209,0,224,66,286,4,0
24,16,0,0,0,0,0,0,0,0,0
24,17,0,0,0,0,0,0,0,0,0
24,18,0,0,0,0,0,0,0,0,0
24,19,0,0,0,0,0,0,0,0,0
24,20,0,0,0,0,0,0,0,0,0
24,21,2390,1932,458,0,2113,277,1824,566,1
24,22,6120,3292,2828,0,5920,200,5062,1058,0
24,23,986,200,786,0,853,133,192,794,1
